name,country,batting_style,bowling_style,playing_role,image
Nosaina Pokana,Papua New Guinea,Right hand Bat,Left arm Fast,Bowler,
Khawar Ali,Oman,Right hand Bat,Legbreak,Opening Batter,
Jatinder Singh,Oman,Right hand Bat,Right arm Offbreak,Batter,
Kyle Coetzer,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,
Mohammad Saifuddin,Bangladesh,Left hand Bat,Right arm Medium fast,Bowling Allrounder,
Mushfiqur Rahim,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,
Ryan ten Doeschate,Netherlands,Right hand Bat,Right arm Medium fast,Allrounder,
Pieter Seelaar,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Kevin O'Brien,Ireland,Right hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316572.1.png"
Craig Williams,Namibia,Right hand Bat,Right arm Medium,Top order Batter,
Avishka Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,
Alasdair Evans,Scotland,Right hand Bat,Right arm Medium fast,Bowler,
Mohammad Naim,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,
Sandeep Goud,Oman,Right hand Bat,Right arm Medium,Allrounder,
Dwaine Pretorius,South Africa,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322077.1.png"
Lendl Simmons,West Indies,Right hand Bat,Right arm Medium fast,Top order Batter,
Dwayne Bravo,West Indies,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320000/320092.1.png"
Kieron Pollard,West Indies,Right hand Bat,Right arm Medium,Batting Allrounder,
Tymal Mills,England,Right hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316564.1.png"
Eoin Morgan,England,Left hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316564.1.png"
Hasan Ali,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Mohammad Hafeez,Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386366.5.png"
Mohammad Shahzad,Afghanistan,Right hand Bat,Right arm Medium fast,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320500/320500.1.png"
Hayden Walsh,West Indies,Left hand Bat,Legbreak Googly,Bowler,
Martin Guptill,New Zealand,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316591.1.png"
Shoaib Malik,Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320470.1.png"
Craig Wallace,Namibia,Right hand Bat,Right arm Medium,Top order Batter,
Hamid Hassan,Afghanistan,Right hand Bat,Right arm Fast,Bowler,
Ishan Kishan,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Shardul Thakur,India,Right hand Bat,Right arm Medium,Bowler,
Adam Milne,New Zealand,Right hand Bat,Right arm Fast,Bowler,
Sharafuddin Ashraf,Afghanistan,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Karl Birkenstock,Namibia,Left hand Bat,Right arm Fast medium,Middle order Batter,
Hamza Tahir,Scotland,Right hand Bat,Slow Left arm Orthodox,Bowler,
Dylan Budge,Scotland,Right hand Bat,Right arm Medium,Allrounder,
Rahul Chahar,India,Right hand Bat,Legbreak Googly,Bowler,
Hamilton Masakadza,Zimbabwe,Right hand Bat,Right arm Medium,Top order Batter,
Richmond Mutumbami,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Malcolm Waller,Zimbabwe,Right hand Bat,Right arm Offbreak,Batter,
Elton Chigumbura,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder,
Donald Tiripano,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Tinashe Panyangara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Tanwir Afzal,Hong Kong,Right hand Bat,Right arm Fast medium,Allrounder,
Haseeb Amjad,Hong Kong,Right hand Bat,Right arm Medium fast,Bowler,
Nadeem Ahmed,Hong Kong,Right hand Bat,Slow Left arm Orthodox,Bowler,
Ryan Campbell,Hong Kong,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Aizaz Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Allrounder,
Jamie Atkinson,England,Left hand Bat,Right arm Fast medium,Bowler,
Babar Hayat,Hong Kong,Right hand Bat,Right arm Medium,Batter,
Nizakat Khan,Hong Kong,Right hand Bat,Legbreak,Allrounder,
Kinchit Shah,Hong Kong,Left hand Bat,Right arm Offbreak,Top order Batter,
Noor Ali Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,
Shafiqullah,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,
Dawlat Zadran,Afghanistan,Right hand Bat,Right arm Fast medium,Bowler,
Samiullah Shinwari,Afghanistan,Right hand Bat,Legbreak,Allrounder,
Preston Mommsen,Scotland,Right hand Bat,Right arm Offbreak,Opening Batter,
Sabbir Rahman,Bangladesh,Right hand Bat,Right arm Fast medium,Allrounder,
Mashrafe Mortaza,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,
Arafat Sunny,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Mudassar Bukhari,Netherlands,Right hand Bat,Right arm Medium fast,Allrounder,
Peter Borren,Netherlands,Right hand Bat,Right arm Medium,Allrounder,
Wesley Barresi,Netherlands,Right hand Bat,Right arm Offbreak,Batter,
Al-Amin Hossain,Bangladesh,Right hand Bat,Right arm Medium fast,Bowler,
William Porterfield,Ireland,Left hand Bat,Right arm Offbreak,Batter,
Niall O'Brien,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,
Andrew Poynter,Ireland,Right hand Bat,Right arm Offbreak,Batter,
Max Sorensen,Ireland,Right hand Bat,Right arm Fast medium,Bowler,
Ajay Lalcheta,Oman,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Munis Ansari,Oman,Right hand Bat,Right arm Fast medium,Bowler,
Amir Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Sultan Ahmed,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Bowler,
Adil Mehmood,Hong Kong,Right hand Bat,Right arm Medium,Bowler,
Gavin Main,Scotland,Right hand Bat,Right arm Fast,Bowler,
Con de Lange,Scotland,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Colin Munro,New Zealand,Left hand Bat,Right arm Medium fast,Opening Batter,
Grant Elliott,New Zealand,Right hand Bat,Right arm Medium,Allrounder,
Nathan McCullum,New Zealand,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316510.1.png"
Ashish Nehra,India,Right hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319931.2.png"
Suresh Raina,India,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316523.3.png"
Shikhar Dhawan,India,Left hand Bat,Right arm Offbreak,Opening Batter,
Yuvraj Singh,India,Left hand Bat,Left arm Offbreak,All Rounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/385800/385800.2.png"
Sharjeel Khan,Pakistan,Left hand Bat,Legbreak,Opening Batter,
Ahmed Shehzad,Pakistan,Right hand Bat,Legbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316606.1.png"
Shahid Afridi,Pakistan,Right hand Bat,Right arm Leg Spin,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316487.1.png"
Umar Akmal,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Sarfaraz Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Mohammad Mithun,Bangladesh,Left hand Bat,Right arm Medium fast,Bowling Allrounder,
Mohammad Irfan,Pakistan,Right hand Bat,Left arm Fast,Bowler,
Mohammad Irfan,Pakistan,Right hand Bat,Right arm Medium,Bowler,
Wahab Riaz,Pakistan,Right hand Bat,Left arm Fast,Bowler,
Jerome Taylor,West Indies,Right hand Bat,Right arm Fast,Bowler,
Samuel Badree,West Indies,Right hand Bat,Legbreak,Bowler,
Sulieman Benn,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,
Carlos Brathwaite,West Indies,Right hand Bat,Right arm Fast medium,Allrounder,
Marlon Samuels,West Indies,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316505.2.png"
Daren Sammy,West Indies,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316537.1.png"
David Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322904.1.png"
Tillakaratne Dilshan,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386400/386416.1.png"
Chamara Kapugedera,Sri Lanka,Right hand Bat,Right arm Medium,Middle order Batter,
Mitchell McClenaghan,New Zealand,Left hand Bat,Left arm Fast medium,Bowler,
Nathan Coulter-Nile,Australia,Right hand Bat,Right arm Fast,Bowling Allrounder,
Shane Watson,Australia,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316502.1.png"
James Faulkner,Australia,Right hand Bat,Left arm Fast medium,Bowling Allrounder,
Usman Khawaja,Australia,Left hand Bat,Right arm Medium,Top order Batter,
Peter Nevill,Ireland,Right hand Bat,Right arm Medium fast,Bowler,
Hashim Amla,South Africa,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,
Jean-Paul Duminy,South Africa,Left hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316542.1.png"
Dale Steyn,South Africa,Right hand Bat,Right arm Fast,Bowler,
Kyle Abbott,South Africa,Right hand Bat,Right arm Fast medium,Bowler,
Imran Tahir,Pakistan,Right hand Bat,Legbreak,Opening Batter,
Mohammad Sami,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Shapoor Zadran,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,
Jeffrey Vandersay,Sri Lanka,Right hand Bat,Legbreak,Bowler,
Andre Fletcher,West Indies,Right hand Bat,"Right arm Medium fast, Legbreak",Top order Batter,
John Hastings,Australia,Right hand Bat,Right arm Fast medium,Allrounder,
Saqlain Sajib,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,
Khalid Latif,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,
James Vince,England,Right hand Bat,Right arm Medium,Batter,
Liam Plunkett,England,Right hand Bat,Right arm Fast,Bowler,
Aaron Phangiso,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,
Henry Nicholls,New Zealand,Left hand Bat,Right arm Offbreak,Top order Batter,
Shehan Jayasuriya,Sri Lanka,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Farhaan Behardien,South Africa,Right hand Bat,Right arm Fast medium,Batting Allrounder,
Ajinkya Rahane,India,Right hand Bat,Right arm Medium,Top order Batter,
Najeeb Tarakai,Afghanistan,Right hand Bat,Right arm Offbreak,Opening Batter,
Nawroz Mangal,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,
Aftab Alam,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,
Abdur Razzak,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319600/319683.1.png"
Farhad Reza,Bangladesh,Right hand Bat,Right arm Fast medium,Allrounder,
Anamul Haque,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
Sagar Pun,Nepal,Right hand Bat,Right arm Offbreak,Opening Batter,
Paras Khadka,Nepal,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Allrounder,
Binod Bhandari,Nepal,Right hand Bat,Right arm Bowler,Wicketkeeper,
Sharad Vesawkar,Nepal,Right hand Bat,Right arm Offbreak,Middle order Batter,
Basant Regmi,Nepal,Left hand Bat,Slow Left arm Orthodox,Bowler,
Naresh Budayair,Nepal,Right hand Bat,Right arm Bowler,Opening Batter,
Shakti Gauchan,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,
Najeeb Amar,Hong Kong,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Irfan Ahmed,Hong Kong,Right hand Bat,Right arm Fast medium,Allrounder,
Waqas Barkat,Hong Kong,Right hand Bat,Legbreak,Wicketkeeper Batter,
Jitendra Mukhiya,Nepal,Right hand Bat,Right arm Medium fast,Bowler,
Brendan Taylor,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Timycen Maruma,Zimbabwe,Right hand Bat,Legbreak Googly,Top order Batter,
Prosper Utseya,Zimbabwe,Right hand Bat,Right arm Offbreak,Bowler,
Alex Cusack,Ireland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316628.1.png"
Stuart Thompson,Ireland,Left hand Bat,Right arm Medium fast,Bowler,
Tafadzwa Kamungozi,Zimbabwe,Right hand Bat,Legbreak,Allrounder,
Amjad Ali,United Arab Emirates,Left hand Bat,Legbreak,Batter,
Khurram Khan,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Top order Batter,
Rohan Mustafa,United Arab Emirates,Left hand Bat,Right arm Offbreak,Top order Batter,
Amjad Javed,United Arab Emirates,Right hand Bat,Right arm Medium,Allrounder,
Vikrant Shetty,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter,
Kamran Shazad,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,
Michael Swart,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,
Munir Dar,Hong Kong,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Natsai M'shangwe,Zimbabwe,Right hand Bat,Legbreak,Bowler,
Sharif Asadullah,United Arab Emirates,Right hand Bat,Right arm Fast medium,Bowler,
Mirwais Ashraf,Afghanistan,Right hand Bat,Right arm Fast medium,Bowler,
Ehsan Nawaz,Hong Kong,Right hand Bat,Right arm Fast medium,Bowler,
Kamran Akmal,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Sohaib Maqsood,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Bilawal Bhatti,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Umar Gul,Pakistan,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320473.1.png"
Amit Mishra,India,Right hand Bat,Legbreak,Bowler,
Junaid Khan,Pakistan,Right hand Bat,Right arm Fast medium,Bowler,
Saeed Ajmal,Pakistan,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320464.1.png"
Kumar Sangakkara,Sri Lanka,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Lonwabo Tsotsobe,South Africa,Right hand Bat,Left arm Fast medium,Bowler,
Morne Morkel,South Africa,Left hand Bat,Right arm Fast,Bowler,
Michael Lumb,England,Left hand Bat,Right arm Medium,Top order Batter,
Stuart Broad,England,Left hand Bat,Right arm Fast medium,Bowler,
Kyle Mills,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,
Brendon McCullum,New Zealand,Right hand Bat,"Right arm Medium, Right arm Offbreak",Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316509.1.png"
Jade Dernbach,England,Right hand Bat,Right arm Fast medium,Bowler,
George Bailey,Australia,Right hand Bat,Right arm Medium,Top order Batter,
Zulfiqar Babar,Pakistan,Right hand Bat,Slow Left arm Orthodox,Bowler,
Dwayne Smith,West Indies,Right hand Bat,Right arm Medium,Allrounder,
Sunil Narine,West Indies,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320119.1.png"
Sohag Gazi,Bangladesh,Right hand Bat,Right arm Offbreak,Bowler,
Ziaur Rahman,Bangladesh,Right hand Bat,Right arm Fast medium,Allrounder,
Mominul Haque,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,
Beuran Hendricks,South Africa,Left hand Bat,Left arm Fast medium,Bowler,
James Tredwell,England,Left hand Bat,Right arm Offbreak,Allrounder,
James Muirhead,Australia,Right hand Bat,Legbreak,Bowler,
Shamsur Rahman,Bangladesh,Right hand Bat,Right arm Fast medium,Allrounder,
Sohail Tanvir,Pakistan,Left hand Bat,Left arm Medium fast,Bowler,
Cameron White,Australia,Right hand Bat,Legbreak Googly,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319600/319689.1.png"
Mohit Sharma,India,Right hand Bat,Right arm Medium,Bowler,
Stephen Parry,England,Right hand Bat,Slow Left arm Orthodox,Bowler,
Seekkuge Prasanna,Sri Lanka,Right hand Bat,Legbreak,Allrounder,
Kyle Jarvis,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,
Brian Vitori,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,
Nigel Jones,Ireland,Right hand Bat,Right arm Medium,Allrounder,
Michael Hussey,Australia,Left hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319708.1.png"
Gautam Gambhir,India,Left hand Bat,Legbreak,Top order Batter,
Virender Sehwag,India,Right hand Bat,Right arm Offbreak,Top order Batter,
Irfan Pathan,India,Left hand Bat,Left arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319939.2.png"
Zaheer Khan,India,Right hand Bat,Left arm Fast medium,Bowler,
Lakshmipathy Balaji,India,Right hand Bat,Right arm Medium fast,Bowler,
Stuart Matsikenyeri,Zimbabwe,Right hand Bat,Right arm Offbreak,Middle order Batter,
Johan Botha,South Africa,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320369.1.png"
Robin Peterson,South Africa,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320386.1.png"
Jacques Kallis,South Africa,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320358.1.png"
Richard Levi,South Africa,Right hand Bat,Right arm Medium,Opening Batter,
James Franklin,New Zealand,Left hand Bat,Left arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319780.1.png"
Shafiul Islam,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,
Mohammad Ashraful,Bangladesh,Right hand Bat,"Right arm Offbreak, Legbreak",Middle order Batter,
Jacob Oram,New Zealand,Left hand Bat,Right arm Fast medium,Allrounder,
Daniel Vettori,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316400/316488.1.png"
Craig Kieswetter,England,Right hand Bat,Right arm Offbreak,Opening Batter,
Luke Wright,England,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319799.1.png"
Samit Patel,England,Right hand Bat,Slow Left arm Orthodox,Allrounder,
Izatullah Dawlatzai,Germany,Right hand Bat,Right arm Fast medium,Bowler,
Steven Finn,England,Right hand Bat,Right arm Fast medium,Bowler,
Graeme Swann,England,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319755.1.png"
Fidel Edwards,West Indies,Right hand Bat,Right arm Fast,Bowler,
Imran Nazir,Pakistan,Right hand Bat,Legbreak,Opening Batter,
Ashok Dinda,India,Right hand Bat,Right arm Medium fast,Bowler,
Harbhajan Singh,India,Right hand Bat,Right arm Offbreak,Bowler,
Piyush Chawla,India,Left hand Bat,Legbreak,Bowling Allrounder,
Raza Hasan,Pakistan,Right hand Bat,Slow Left arm Orthodox,Bowler,
Danny Briggs,England,Right hand Bat,Slow Left arm Orthodox,Bowler,
Xavier Doherty,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,
Darren Bravo,West Indies,Left hand Bat,Right arm Medium,Top order Batter,
Abdul Razzaq,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320445.1.png"
David Hussey,Australia,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319600/319692.1.png"
Sanath Jayasuriya,Sri Lanka,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319886.1.png"
Shane Bond,New Zealand,Right hand Bat,Right arm Fast,Bowler,
Scott Styris,New Zealand,Right hand Bat,Right arm Medium,Allrounder,
Jesse Ryder,New Zealand,Left hand Bat,Right arm Medium,Allrounder,
Muthiah Muralidaran,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319880.1.png"
Shivnarine Chanderpaul,West Indies,Left hand Bat,Legbreak,Batter,
Ramnaresh Sarwan,West Indies,Right hand Bat,Legbreak,Batter,
Narsingh Deonarine,West Indies,Left hand Bat,Right arm Offbreak,Batter,
Nikita Miller,West Indies,Right hand Bat,Slow Left arm Orthodox,Bowler,
Kemar Roach,West Indies,Right hand Bat,Right arm Fast medium,Bowler,
Andre Botha,Ireland,Left hand Bat,Right arm Medium,Allrounder,
John Mooney,Ireland,Left hand Bat,Right arm Medium,Allrounder,
Raees Ahmadzai,Afghanistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
Dawlat Ahmadzai,Afghanistan,Right hand Bat,Right arm Fast medium,Bowler,
Yusuf Pathan,India,Right hand Bat,Right arm Offbreak,Allrounder,
Murali Vijay,India,Right hand Bat,Right arm Offbreak,Opening Batter,
Salman Butt,Pakistan,Left hand Bat,Right arm Offbreak,Batter,
Imrul Kayes,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Rory Kleinveldt,South Africa,Right hand Bat,Right arm Fast medium,Bowler,
Graeme Smith,South Africa,Left hand Bat,Right arm Offbreak,Opening Batter,
Mark Boucher,South Africa,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Michael Clarke,Australia,Right hand Bat,Slow Left arm Orthodox,Middle order Batter,
Mitchell Johnson,Australia,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316504.1.png"
Dirk Nannes,Australia,Right hand Bat,Left arm Fast,Bowler,
Shaun Tait,Australia,Right hand Bat,Right arm Fast,Bowler,
Fawad Alam,Pakistan,Left hand Bat,Slow Left arm Orthodox,Top order Batter,
Tatenda Taibu,Zimbabwe,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
Kevin Pietersen,England,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319796.1.png"
Paul Collingwood,England,Right hand Bat,Right arm Medium,Allrounder,
Ryan Sidebottom,England,Left hand Bat,Left arm Fast medium,Bowler,
Ryan Sidebottom,Australia,Right hand Bat,Right arm Medium fast,Bowler,
Michael Yardy,England,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Charles Coventry,Zimbabwe,Right hand Bat,Legbreak,Top order Batter,
Ryan Harris,Australia,Right hand Bat,Right arm Fast,Bowler,
Aftab Ahmed,Denmark,Right hand Bat,Right arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/171500/171537.1.jpg"
Charl Langeveldt,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320341.1.png"
Mohammad Asif,Pakistan,Left hand Bat,Right arm Fast medium,Bowler,
Mohammad Asif,Pakistan,Right hand Bat,Right arm Offbreak,Allrounder,
Herschelle Gibbs,South Africa,Right hand Bat,Right arm Bowler,Opening Batter,
Wavell Hinds,West Indies,Left hand Bat,Right arm Medium,Batter,
Ian Butler,New Zealand,Right hand Bat,Right arm Fast,Bowler,
Abdur Rehman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Bowler,
Aaron Redmond,New Zealand,Right hand Bat,Legbreak,Top order Batter,
Owais Shah,England,Right hand Bat,Right arm Offbreak,Batter,
Edgar Schiferli,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,
Alexei Kervezee,Netherlands,Right hand Bat,Right arm Medium,Opening Batter,
Darron Reekers,Netherlands,Right hand Bat,Right arm Medium,Opening Batter,
Tom de Grooth,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,
Daan van Bunge,Netherlands,Right hand Bat,Legbreak,Allrounder,
James Anderson,England,Left hand Bat,Right arm Fast medium,Bowler,
Ryan Watson,Scotland,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,
Navdeep Poonia,Scotland,Right hand Bat,Right arm Medium fast,Batter,
Jan Stander,Scotland,Right hand Bat,Right arm Medium fast,Bowler,
